"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"7,033333";"124,2709";"361,0065";"150,4722";"149,3044";"230,8998";"128,2214";"124,2709";"361,0065";"150,4722";"149,3044";"230,8998";"128,2214"
"7,066667";"122,3302";"361,0906";"148,7446";"149,7057";"231,0125";"127,9834";"122,3302";"361,0906";"148,7446";"149,7057";"231,0125";"127,9834"
"7,1";"120,0782";"361,0247";"148,6288";"149,9152";"231,0195";"128,7446";"120,0782";"361,0247";"148,6288";"149,9152";"231,0195";"128,7446"
"7,133333";"120,0607";"360,0312";"149,1129";"149,6677";"231,0134";"128,7562";"120,0607";"360,0312";"149,1129";"149,6677";"231,0134";"128,7562"
"7,166667";"119,3755";"359,1037";"149,2803";"149,4346";"230,961";"128,0406";"119,3755";"359,1037";"149,2803";"149,4346";"230,961";"128,0406"
"7,2";"118,6559";"357,9282";"150,8763";"149,2654";"231,2028";"126,7988";"118,6559";"357,9282";"150,8763";"149,2654";"231,2028";"126,7988"
"7,233333";"118,958";"356,0055";"153,1718";"148,2924";"231,5229";"125,0134";"118,958";"356,0055";"153,1718";"148,2924";"231,5229";"125,0134"
"7,266667";"114,3566";"355,0759";"158,8784";"146,1133";"231,9738";"122,7872";"114,3566";"355,0759";"158,8784";"146,1133";"231,9738";"122,7872"
"7,3";"113,9867";"351,9932";"161,2307";"146,7478";"231,6668";"119,9077";"113,9867";"351,9932";"161,2307";"146,7478";"231,6668";"119,9077"
"7,333333";"115,1907";"348,0707";"164,0574";"149,191";"231,0429";"116,3057";"115,1907";"348,0707";"164,0574";"149,191";"231,0429";"116,3057"
"7,366667";"114,1912";"344,0757";"167,9064";"149,5124";"231,1903";"112,7177";"114,1912";"344,0757";"167,9064";"149,5124";"231,1903";"112,7177"
"7,4";"109,7073";"339,915";"171,7791";"148,8985";"231,9609";"109,0305";"109,7073";"339,915";"171,7791";"148,8985";"231,9609";"109,0305"
"7,433333";"109,6992";"333,9097";"177,661";"149,3296";"233,7527";"104,8113";"109,6992";"333,9097";"177,661";"149,3296";"233,7527";"104,8113"
"7,466667";"106,0135";"328,9859";"180,905";"145,6176";"235,2219";"99,9151";"106,0135";"328,9859";"180,905";"145,6176";"235,2219";"99,9151"
"7,5";"104,9948";"322,9827";"183,9657";"143,3983";"234,4651";"95,22021";"104,9948";"322,9827";"183,9657";"143,3983";"234,4651";"95,22021"
"7,533333";"102,7651";"316,9229";"184,9497";"146,1593";"236,8943";"90,7868";"102,7651";"316,9229";"184,9497";"146,1593";"236,8943";"90,7868"
"7,566667";"99,39093";"311,0738";"186,0047";"150,7735";"234,9955";"85,13623";"99,39093";"311,0738";"186,0047";"150,7735";"234,9955";"85,13623"
"7,6";"98,83429";"303,9346";"188,452";"147,2292";"237,6725";"80,0376";"98,83429";"303,9346";"188,452";"147,2292";"237,6725";"80,0376"
"7,633333";"93,50623";"296,8936";"189,7919";"145,2825";"236,3083";"73,15698";"93,50623";"296,8936";"189,7919";"145,2825";"236,3083";"73,15698"
"7,666667";"92,74231";"289,9884";"190,1739";"139,6482";"236,5195";"67,54498";"92,74231";"289,9884";"190,1739";"139,6482";"236,5195";"67,54498"
"7,7";"87,79688";"283,9641";"192,0892";"144,8215";"238,6498";"59,57776";"87,79688";"283,9641";"192,0892";"144,8215";"238,6498";"59,57776"
"7,733333";"85,35333";"277,1547";"191,4111";"139,3141";"239,5066";"60,00525";"85,35333";"277,1547";"191,4111";"139,3141";"239,5066";"60,00525"
"7,766667";"80,02075";"271,035";"191,0071";"138,8945";"236,511";"57,28363";"80,02075";"271,035";"191,0071";"138,8945";"236,511";"57,28363"
"7,8";"75,32941";"267,1369";"191,0933";"139,0284";"234,8975";"46,55695";"75,32941";"267,1369";"191,0933";"139,0284";"234,8975";"46,55695"
"7,833333";"70,9411";"260,985";"190,9313";"140,1447";"234,7182";"41,55164";"70,9411";"260,985";"190,9313";"140,1447";"234,7182";"41,55164"
"7,866667";"68,92133";"254,0198";"191,6265";"140,9747";"234,2413";"36,61407";"68,92133";"254,0198";"191,6265";"140,9747";"234,2413";"36,61407"
"7,9";"64,49756";"248,2157";"191,8546";"141,0939";"233,8178";"31,59827";"64,49756";"248,2157";"191,8546";"141,0939";"233,8178";"31,59827"
"7,933333";"60,99786";"242,0012";"192,7625";"141,3732";"233,175";"26,65192";"60,99786";"242,0012";"192,7625";"141,3732";"233,175";"26,65192"
"7,966667";"59,12756";"233,2546";"193,0828";"141,4908";"232,838";"21,37866";"59,12756";"233,2546";"193,0828";"141,4908";"232,838";"21,37866"
"8";"55,22156";"227,098";"193,0319";"142,294";"232,719";"16,10132";"55,22156";"227,098";"193,0319";"142,294";"232,719";"16,10132"
"8,033334";"53,76685";"219,963";"193,1023";"143,0098";"232,5674";"10,72949";"53,76685";"219,963";"193,1023";"143,0098";"232,5674";"10,72949"
"8,066667";"49,16693";"215,0474";"193,0974";"143,3181";"232,3718";"5,348633";"49,16693";"215,0474";"193,0974";"143,3181";"232,3718";"5,348633"
"8,1";"46,90778";"208,9557";"193,7566";"144,0046";"232,1517";"-0,1281738";"46,90778";"208,9557";"193,7566";"144,0046";"232,1517";"-0,1281738"
"8,133333";"48,09503";"202,0957";"194,3431";"143,69";"232,1637";"-5,677673";"48,09503";"202,0957";"194,3431";"143,69";"232,1637";"-5,677673"
"8,166667";"43,46002";"197,114";"194,1818";"144,1417";"232,3477";"-11,02081";"43,46002";"197,114";"194,1818";"144,1417";"232,3477";"-11,02081"
"8,2";"41,94678";"191,0292";"193,681";"145,2186";"232,3238";"-15,89227";"41,94678";"191,0292";"193,681";"145,2186";"232,3238";"-15,89227"
"8,233334";"38,56531";"185,8458";"193,1263";"145,3152";"232,1627";"-22,3418";"38,56531";"185,8458";"193,1263";"145,3152";"232,1627";"-22,3418"
"8,266666";"35,67969";"181,0513";"192,7064";"145,9723";"232,2386";"-26,78064";"35,67969";"181,0513";"192,7064";"145,9723";"232,2386";"-26,78064"
"8,3";"31,68317";"176,6902";"191,6887";"146,1843";"232,116";"-31,34033";"31,68317";"176,6902";"191,6887";"146,1843";"232,116";"-31,34033"
