"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"7,066667";"147,3199";"147,8557";"152,1914";"-34,47894";"125,7459";"312,792";"147,3199";"147,8557";"152,1914";"-34,47894";"125,7459";"312,792"
"7,1";"146,8809";"148,2365";"151,932";"-33,9295";"124,881";"312,7167";"146,8809";"148,2365";"151,932";"-33,9295";"124,881";"312,7167"
"7,133333";"147,3577";"147,9834";"151,8738";"-33,94757";"123,6091";"311,5587";"147,3577";"147,9834";"151,8738";"-33,94757";"123,6091";"311,5587"
"7,166667";"147,9297";"148,1029";"151,9057";"-34,09595";"123,1783";"312,5538";"147,9297";"148,1029";"151,9057";"-34,09595";"123,1783";"312,5538"
"7,2";"149,5526";"148,0555";"152,0676";"-34,05396";"123,2079";"311,9373";"149,5526";"148,0555";"152,0676";"-34,05396";"123,2079";"311,9373"
"7,233333";"151,972";"147,0434";"152,0722";"-34,03284";"123,7456";"309,7453";"151,972";"147,0434";"152,0722";"-34,03284";"123,7456";"309,7453"
"7,266667";"154,7291";"146,4763";"152,1798";"-34,05115";"124,0577";"309,4929";"154,7291";"146,4763";"152,1798";"-34,05115";"124,0577";"309,4929"
"7,3";"162,3632";"145,7848";"152,1746";"-34,05902";"123,8643";"307,172";"162,3632";"145,7848";"152,1746";"-34,05902";"123,8643";"307,172"
"7,333333";"164,6748";"146,2534";"152,2183";"-34,03009";"123,1537";"307,5183";"164,6748";"146,2534";"152,2183";"-34,03009";"123,1537";"307,5183"
"7,366667";"168,154";"145,2338";"152,1275";"-34,00659";"122,8126";"303,8728";"168,154";"145,2338";"152,1275";"-34,00659";"122,8126";"303,8728"
"7,4";"172,1364";"144,1572";"152,1074";"-33,992";"121,7734";"300,7453";"172,1364";"144,1572";"152,1074";"-33,992";"121,7734";"300,7453"
"7,433333";"176,4996";"142,9743";"152,2094";"-34,06995";"120,0204";"298,1017";"176,4996";"142,9743";"152,2094";"-34,06995";"120,0204";"298,1017"
"7,466667";"180,3411";"142,656";"152,4088";"-34,27222";"118,0766";"295,9922";"180,3411";"142,656";"152,4088";"-34,27222";"118,0766";"295,9922"
"7,5";"183,642";"146,7191";"152,6537";"-34,37024";"117,0136";"292,1518";"183,642";"146,7191";"152,6537";"-34,37024";"117,0136";"292,1518"
"7,533333";"185,1429";"145,6857";"152,6583";"-34,47949";"114,0706";"289,3031";"185,1429";"145,6857";"152,6583";"-34,47949";"114,0706";"289,3031"
"7,566667";"187,0402";"147,9772";"152,7242";"-34,38251";"111,0296";"285,9045";"187,0402";"147,9772";"152,7242";"-34,38251";"111,0296";"285,9045"
"7,6";"186,1204";"148,9448";"152,7678";"-34,30463";"108,8967";"281,6913";"186,1204";"148,9448";"152,7678";"-34,30463";"108,8967";"281,6913"
"7,633333";"188,9231";"149,3112";"152,9387";"-34,32739";"106,1044";"277,3246";"188,9231";"149,3112";"152,9387";"-34,32739";"106,1044";"277,3246"
"7,666667";"190,5709";"148,4809";"152,88";"-34,40741";"101,7766";"273,5187";"190,5709";"148,4809";"152,88";"-34,40741";"101,7766";"273,5187"
"7,7";"192,6848";"150,6773";"152,8541";"-34,41925";"98,15564";"268,0529";"192,6848";"150,6773";"152,8541";"-34,41925";"98,15564";"268,0529"
"7,733333";"193,1689";"152,4386";"152,6731";"-34,44305";"93,65875";"266,9728";"193,1689";"152,4386";"152,6731";"-34,44305";"93,65875";"266,9728"
"7,766667";"193,9315";"151,22";"152,6287";"-34,38934";"89,59314";"260,9399";"193,9315";"151,22";"152,6287";"-34,38934";"89,59314";"260,9399"
"7,8";"193,9894";"151,9208";"152,5938";"-34,40247";"86,21948";"255,0702";"193,9894";"151,9208";"152,5938";"-34,40247";"86,21948";"255,0702"
"7,833333";"193,8402";"151,721";"152,4728";"-34,43793";"79,05072";"252,1323";"193,8402";"151,721";"152,4728";"-34,43793";"79,05072";"252,1323"
"7,866667";"194,1241";"152,1742";"152,2754";"-34,26196";"73,66107";"247,486";"194,1241";"152,1742";"152,2754";"-34,26196";"73,66107";"247,486"
"7,9";"194,1193";"152,6326";"152,0804";"-34,11481";"69,84741";"240,9029";"194,1193";"152,6326";"152,0804";"-34,11481";"69,84741";"240,9029"
"7,933333";"195,1323";"151,9067";"152,0742";"-34,1095";"64,46924";"237,2164";"195,1323";"151,9067";"152,0742";"-34,1095";"64,46924";"237,2164"
"7,966667";"195,1146";"156,8387";"152,0756";"-34,10876";"60,5127";"230,8155";"195,1146";"156,8387";"152,0756";"-34,10876";"60,5127";"230,8155"
"8";"194,8101";"156,6989";"152,0692";"-34,2464";"56,78094";"224,9373";"194,8101";"156,6989";"152,0692";"-34,2464";"56,78094";"224,9373"
"8,033334";"194,731";"156,609";"152,1583";"-34,29144";"52,88538";"218,9725";"194,731";"156,609";"152,1583";"-34,29144";"52,88538";"218,9725"
"8,066667";"194,7712";"156,6547";"152,1176";"-34,26801";"50,76276";"212,9434";"194,7712";"156,6547";"152,1176";"-34,26801";"50,76276";"212,9434"
"8,1";"194,9265";"156,7913";"152,0815";"-34,28815";"48,64508";"206,9059";"194,9265";"156,7913";"152,0815";"-34,28815";"48,64508";"206,9059"
"8,133333";"195,1816";"156,9857";"152,0814";"-34,28766";"47,12506";"201,0463";"195,1816";"156,9857";"152,0814";"-34,28766";"47,12506";"201,0463"
"8,166667";"195,0692";"156,7675";"152,1583";"-34,30859";"45,49487";"195,1812";"195,0692";"156,7675";"152,1583";"-34,30859";"45,49487";"195,1812"
"8,2";"195,0084";"156,216";"153,0665";"-34,18054";"41,08167";"189,9797";"195,0084";"156,216";"153,0665";"-34,18054";"41,08167";"189,9797"
"8,233334";"193,9438";"156,6843";"153,6371";"-34,2019";"40,28076";"184,2977";"193,9438";"156,6843";"153,6371";"-34,2019";"40,28076";"184,2977"
"8,266666";"193,8201";"155,964";"154,7146";"-34,25494";"34,92401";"180,0163";"193,8201";"155,964";"154,7146";"-34,25494";"34,92401";"180,0163"
"8,3";"192,7534";"155,8326";"155,0676";"-34,64502";"33,02271";"175,1979";"192,7534";"155,8326";"155,0676";"-34,64502";"33,02271";"175,1979"
"8,333333";"191,2218";"156,4855";"154,5779";"-33,33911";"28,38489";"170,9128";"191,2218";"156,4855";"154,5779";"-33,33911";"28,38489";"170,9128"
"8,366667";"189,2822";"157,1684";"156,4818";"-33,87915";"23,97125";"166,7632";"189,2822";"157,1684";"156,4818";"-33,87915";"23,97125";"166,7632"
