"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"7,066667";"153,9987";"-32,63867";"156,6271";"100,533";"-132,4955";"-30,01025";"153,9987";"-32,63867";"156,6271";"100,533";"-132,4955";"-30,01025"
"7,1";"153,9263";"-32,95367";"156,9839";"100,9751";"-131,9836";"-29,97894";"153,9263";"-32,95367";"156,9839";"100,9751";"-131,9836";"-29,97894"
"7,133333";"153,8598";"-32,97272";"157,5211";"100,6777";"-131,9625";"-29,98114";"153,8598";"-32,97272";"157,5211";"100,6777";"-131,9625";"-29,98114"
"7,166667";"153,8882";"-33,12903";"157,9049";"100,8417";"-131,9595";"-29,97913";"153,8882";"-33,12903";"157,9049";"100,8417";"-131,9595";"-29,97913"
"7,2";"154,0544";"-33,09052";"159,0414";"100,7089";"-131,884";"-29,98419";"154,0544";"-33,09052";"159,0414";"100,7089";"-131,884";"-29,98419"
"7,233333";"154,0565";"-33,07941";"161,0175";"99,94379";"-131,884";"-29,98553";"154,0565";"-33,07941";"161,0175";"99,94379";"-131,884";"-29,98553"
"7,266667";"154,168";"-33,08997";"163,5401";"98,91241";"-131,885";"-29,99365";"154,168";"-33,08997";"163,5401";"98,91241";"-131,885";"-29,99365"
"7,3";"154,1539";"-33,09937";"166,2368";"98,82709";"-131,873";"-29,99469";"154,1539";"-33,09937";"166,2368";"98,82709";"-131,873";"-29,99469"
"7,333333";"154,1862";"-33,06744";"168,9239";"97,9483";"-131,8725";"-29,99432";"154,1862";"-33,06744";"168,9239";"97,9483";"-131,8725";"-29,99432"
"7,366667";"154,0965";"-33,04858";"171,5461";"96,96509";"-131,873";"-29,99475";"154,0965";"-33,04858";"171,5461";"96,96509";"-131,873";"-29,99475"
"7,4";"154,085";"-33,03046";"174,0964";"96,54578";"-131,8727";"-29,995";"154,085";"-33,03046";"174,0964";"96,54578";"-131,8727";"-29,995"
"7,433333";"154,1955";"-33,10138";"177,1608";"95,21808";"-131,8666";"-29,99518";"154,1955";"-33,10138";"177,1608";"95,21808";"-131,8666";"-29,99518"
