"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"7,066667";"45,50708";"358,1664";"230,3702";"129,4968";"153,2709";"128,6207";"45,50708";"358,1664";"230,3702";"129,4968";"153,2709";"128,6207"
"7,1";"43,7851";"357,2386";"230,0289";"129,7405";"152,9995";"129,004";"43,7851";"357,2386";"230,0289";"129,7405";"152,9995";"129,004"
"7,133333";"42,06818";"356,0668";"230,0218";"129,7501";"153,3939";"129,1456";"42,06818";"356,0668";"230,0218";"129,7501";"153,3939";"129,1456"
"7,166667";"41,37537";"354,8079";"229,9644";"129,0305";"153,9313";"129,0383";"41,37537";"354,8079";"229,9644";"129,0305";"153,9313";"129,0383"
"7,2";"40,20129";"353,2857";"230,204";"127,7719";"155,2861";"128,8851";"40,20129";"353,2857";"230,204";"127,7719";"155,2861";"128,8851"
"7,233333";"39,43872";"351,1747";"230,5263";"125,9823";"157,7979";"127,976";"39,43872";"351,1747";"230,5263";"125,9823";"157,7979";"127,976"
"7,266667";"37,95264";"348,3712";"230,9934";"123,7317";"160,8002";"127,3896";"37,95264";"348,3712";"230,9934";"123,7317";"160,8002";"127,3896"
"7,3";"36,66071";"345,1613";"230,7125";"120,8665";"164,0988";"126,7411";"36,66071";"345,1613";"230,7125";"120,8665";"164,0988";"126,7411"
"7,333333";"34,58008";"341,2094";"230,0824";"117,2602";"167,196";"126,3249";"34,58008";"341,2094";"230,0824";"117,2602";"167,196";"126,3249"
"7,366667";"32,70044";"336,7894";"230,3033";"113,702";"170,3661";"125,6125";"32,70044";"336,7894";"230,3033";"113,702";"170,3661";"125,6125"
"7,4";"28,90002";"330,9108";"230,9814";"110,0246";"174,1816";"124,484";"28,90002";"330,9108";"230,9814";"110,0246";"174,1816";"124,484"
"7,433333";"26,74664";"324,7514";"232,8071";"105,8511";"177,1454";"123,4189";"26,74664";"324,7514";"232,8071";"105,8511";"177,1454";"123,4189"
"7,466667";"23,30316";"317,9831";"234,2917";"100,9189";"179,2585";"122,8902";"23,30316";"317,9831";"234,2917";"100,9189";"179,2585";"122,8902"
"7,5";"21,47278";"311,7751";"234,2036";"102,8773";"181,3842";"122,1815";"21,47278";"311,7751";"234,2036";"102,8773";"181,3842";"122,1815"
"7,533333";"17,77661";"304,9276";"237,1998";"90,31213";"182,3173";"121,5511";"17,77661";"304,9276";"237,1998";"90,31213";"182,3173";"121,5511"
"7,566667";"13,28137";"297,11";"236,2441";"83,39777";"183,355";"121,8345";"13,28137";"297,11";"236,2441";"83,39777";"183,355";"121,8345"
"7,6";"10,89014";"290,1114";"236,7771";"77,16095";"185,3888";"121,3547";"10,89014";"290,1114";"236,7771";"77,16095";"185,3888";"121,3547"
"7,633333";"6,864563";"282,296";"237,1859";"71,2337";"186,2717";"120,6393";"6,864563";"282,296";"237,1859";"71,2337";"186,2717";"120,6393"
"7,666667";"3,78186";"275,1721";"237,5967";"66,73529";"187,2267";"120,8862";"3,78186";"275,1721";"237,5967";"66,73529";"187,2267";"120,8862"
"7,7";"-1,279663";"267,2009";"237,9156";"67,23218";"187,9749";"120,8647";"-1,279663";"267,2009";"237,9156";"67,23218";"187,9749";"120,8647"
"7,733333";"1,796936";"263,0189";"236,92";"58,52081";"189,9576";"119,8372";"1,796936";"263,0189";"236,92";"58,52081";"189,9576";"119,8372"
"7,766667";"-1,858337";"255,5841";"237,5957";"58,89136";"192,101";"122,5183";"-1,858337";"255,5841";"237,5957";"58,89136";"192,101";"122,5183"
"7,8";"-6,491455";"248,3181";"235,5586";"50,42499";"192,8149";"120,2247";"-6,491455";"248,3181";"235,5586";"50,42499";"192,8149";"120,2247"
"7,833333";"-10,4176";"241,1309";"233,6531";"42,09564";"192,585";"120,7365";"-10,4176";"241,1309";"233,6531";"42,09564";"192,585";"120,7365"
"7,866667";"-14,70618";"232,8649";"233,5658";"36,78827";"193,4921";"121,5901";"-14,70618";"232,8649";"233,5658";"36,78827";"193,4921";"121,5901"
"7,9";"-18,07153";"225,9158";"233,0932";"32,01556";"193,9672";"122,1448";"-18,07153";"225,9158";"233,0932";"32,01556";"193,9672";"122,1448"
"7,933333";"-20,77844";"218,696";"232,5444";"26,91357";"194,8061";"122,3613";"-20,77844";"218,696";"232,5444";"26,91357";"194,8061";"122,3613"
"7,966667";"-23,44739";"212,0903";"232,1146";"21,94055";"195,2084";"122,798";"-23,44739";"212,0903";"232,1146";"21,94055";"195,2084";"122,798"
"8";"-25,99347";"204,8735";"231,9412";"16,67255";"195,0805";"123,5896";"-25,99347";"204,8735";"231,9412";"16,67255";"195,0805";"123,5896"
"8,033334";"-28,33017";"198,1663";"231,9199";"11,18652";"195,1317";"124,2538";"-28,33017";"198,1663";"231,9199";"11,18652";"195,1317";"124,2538"
"8,066667";"-30,46497";"191,4615";"231,7437";"5,745544";"195,3362";"124,811";"-30,46497";"191,4615";"231,7437";"5,745544";"195,3362";"124,811"
"8,1";"-31,50464";"184,629";"231,6628";"0,2368164";"195,8494";"125,1125";"-31,50464";"184,629";"231,6628";"0,2368164";"195,8494";"125,1125"
"8,133333";"-32,87778";"178,1312";"231,6814";"-5,170166";"196,6166";"125,2142";"-32,87778";"178,1312";"231,6814";"-5,170166";"196,6166";"125,2142"
"8,166667";"-33,74609";"172,0486";"231,7505";"-10,46326";"196,5909";"125,7068";"-33,74609";"172,0486";"231,7505";"-10,46326";"196,5909";"125,7068"
"8,2";"-34,55325";"165,8848";"231,7131";"-15,48004";"196,4323";"126,7991";"-34,55325";"165,8848";"231,7131";"-15,48004";"196,4323";"126,7991"
"8,233334";"-35,10468";"160,1582";"231,5857";"-19,98773";"196,1148";"127,1476";"-35,10468";"160,1582";"231,5857";"-19,98773";"196,1148";"127,1476"
"8,266666";"-35,78601";"153,9589";"232,3378";"-24,69287";"195,6731";"127,3041";"-35,78601";"153,9589";"232,3378";"-24,69287";"195,6731";"127,3041"
"8,3";"-36,00549";"148,7378";"232,0273";"-29,26141";"194,7513";"127,7741";"-36,00549";"148,7378";"232,0273";"-29,26141";"194,7513";"127,7741"
"8,333333";"-37,01224";"143,0272";"232,4914";"-33,61029";"193,1785";"128,8291";"-37,01224";"143,0272";"232,4914";"-33,61029";"193,1785";"128,8291"
"8,366667";"-37,53162";"137,7692";"232,1395";"-37,85974";"191,7053";"129,4438";"-37,53162";"137,7692";"232,1395";"-37,85974";"191,7053";"129,4438"
"8,4";"-37,96481";"133,1223";"231,8267";"-42,25635";"190,6644";"129,9775";"-37,96481";"133,1223";"231,8267";"-42,25635";"190,6644";"129,9775"
"8,433333";"-38,42953";"128,3895";"231,9036";"-46,10675";"189,3096";"130,6655";"-38,42953";"128,3895";"231,9036";"-46,10675";"189,3096";"130,6655"
"8,466666";"-38,29935";"124,0117";"232,1517";"-49,83313";"188,1285";"130,8535";"-38,29935";"124,0117";"232,1517";"-49,83313";"188,1285";"130,8535"
"8,5";"-38,93326";"119,149";"232,1017";"-53,68292";"187,5856";"130,5609";"-38,93326";"119,149";"232,1017";"-53,68292";"187,5856";"130,5609"
"8,533334";"-38,74606";"115,0298";"232,2891";"-57,11108";"186,9618";"130,924";"-38,74606";"115,0298";"232,2891";"-57,11108";"186,9618";"130,924"
"8,566667";"-37,86407";"111,8823";"233,0244";"-60,73547";"186,5096";"130,9437";"-37,86407";"111,8823";"233,0244";"-60,73547";"186,5096";"130,9437"
"8,6";"-37,35696";"109,1585";"233,198";"-64,23218";"186,302";"131,5154";"-37,35696";"109,1585";"233,198";"-64,23218";"186,302";"131,5154"
"8,633333";"-37,13379";"106,139";"233,2816";"-67,22559";"186,2363";"131,1721";"-37,13379";"106,139";"233,2816";"-67,22559";"186,2363";"131,1721"
"8,666667";"-37,24445";"103,4775";"233,4014";"-69,9469";"185,838";"130,8054";"-37,24445";"103,4775";"233,4014";"-69,9469";"185,838";"130,8054"
"8,7";"-36,28784";"102,0075";"233,3099";"-72,24133";"185,1223";"131,0471";"-36,28784";"102,0075";"233,3099";"-72,24133";"185,1223";"131,0471"
"8,733334";"-35,98773";"100,7545";"233,4156";"-74,10107";"184,6786";"130,7894";"-35,98773";"100,7545";"233,4156";"-74,10107";"184,6786";"130,7894"
"8,766666";"-35,86826";"100,6664";"233,0739";"-75,37073";"184,0988";"131,0446";"-35,86826";"100,6664";"233,0739";"-75,37073";"184,0988";"131,0446"
"8,8";"-36,64636";"101,9727";"232,6227";"-75,92981";"183,6171";"130,7286";"-36,64636";"101,9727";"232,6227";"-75,92981";"183,6171";"130,7286"
"8,833333";"-36,13541";"106,2305";"230,9626";"-75,1189";"183,6171";"130,7286";"-36,13541";"106,2305";"230,9626";"-75,1189";"183,6171";"130,7286"
"8,866667";"-35,31604";"111,4744";"229,303";"-73,82874";"183,9867";"130,6504";"-35,31604";"111,4744";"229,303";"-73,82874";"183,9867";"130,6504"
"8,9";"-36,21198";"118,6315";"227,6595";"-72,09082";"184,0135";"130,6743";"-36,21198";"118,6315";"227,6595";"-72,09082";"184,0135";"130,6743"
"8,933333";"-32,96851";"126,7485";"225,1971";"-69,09106";"184,0337";"130,7533";"-32,96851";"126,7485";"225,1971";"-69,09106";"184,0337";"130,7533"
"8,966666";"-32,75934";"134,0822";"222,8113";"-66,3103";"184,2709";"130,8516";"-32,75934";"134,0822";"222,8113";"-66,3103";"184,2709";"130,8516"
"9";"-31,74567";"142,0122";"219,5739";"-62,02875";"185,0328";"130,0983";"-31,74567";"142,0122";"219,5739";"-62,02875";"185,0328";"130,0983"
"9,033334";"-30,83752";"150,1498";"216,7854";"-58,06073";"185,7925";"129,2964";"-30,83752";"150,1498";"216,7854";"-58,06073";"185,7925";"129,2964"
"9,066667";"-27,77454";"159,7818";"213,0559";"-54,15997";"186,7307";"128,7793";"-27,77454";"159,7818";"213,0559";"-54,15997";"186,7307";"128,7793"
"9,1";"-26,10931";"169,0186";"208,7435";"-50,20636";"187,9244";"128,1897";"-26,10931";"169,0186";"208,7435";"-50,20636";"187,9244";"128,1897"
"9,133333";"-23,62238";"177,8651";"204,5166";"-46,31097";"188,7245";"127,4061";"-23,62238";"177,8651";"204,5166";"-46,31097";"188,7245";"127,4061"
"9,166667";"-20,86108";"186,8806";"200,47";"-41,89539";"189,1473";"127,2836";"-20,86108";"186,8806";"200,47";"-41,89539";"189,1473";"127,2836"
"9,2";"-20,12677";"195,1011";"196,3217";"-38,53558";"189,7994";"126,8342";"-20,12677";"195,1011";"196,3217";"-38,53558";"189,7994";"126,8342"
"9,233334";"-16,36401";"204,122";"191,6716";"-35,16113";"190,3043";"126,2825";"-16,36401";"204,122";"191,6716";"-35,16113";"190,3043";"126,2825"
"9,266666";"-12,95538";"211,9655";"188,064";"-31,72052";"190,9332";"125,7468";"-12,95538";"211,9655";"188,064";"-31,72052";"190,9332";"125,7468"
"9,3";"-8,569397";"219,7839";"183,927";"-28,4978";"191,6798";"125,2047";"-8,569397";"219,7839";"183,927";"-28,4978";"191,6798";"125,2047"
"9,333333";"-7,280579";"226,15";"180,5396";"-25,12128";"192,655";"124,5652";"-7,280579";"226,15";"180,5396";"-25,12128";"192,655";"124,5652"
"9,366667";"-3,089539";"233,0668";"178,0478";"-21,50433";"193,3105";"123,9299";"-3,089539";"233,0668";"178,0478";"-21,50433";"193,3105";"123,9299"
"9,4";"1,866455";"240,0687";"175,9198";"-18,25562";"193,2806";"123,6865";"1,866455";"240,0687";"175,9198";"-18,25562";"193,2806";"123,6865"
"9,433333";"6,509216";"247,2344";"174,4197";"-14,00269";"192,4847";"123,973";"6,509216";"247,2344";"174,4197";"-14,00269";"192,4847";"123,973"
"9,466666";"11,32227";"253,9056";"173,3447";"-9,955811";"191,1938";"124,16";"11,32227";"253,9056";"173,3447";"-9,955811";"191,1938";"124,16"
"9,5";"16,31598";"260,8992";"173,098";"-5,543823";"189,7838";"124,1918";"16,31598";"260,8992";"173,098";"-5,543823";"189,7838";"124,1918"
"9,533334";"19,42596";"266,9481";"173,0944";"-0,8495483";"187,621";"124,9967";"19,42596";"266,9481";"173,0944";"-0,8495483";"187,621";"124,9967"
"9,566667";"23,34259";"273,0964";"173,126";"3,815857";"186,181";"124,4924";"23,34259";"273,0964";"173,126";"3,815857";"186,181";"124,4924"
"9,6";"28,93066";"280,0775";"173,0812";"8,582947";"184,1676";"124,0093";"28,93066";"280,0775";"173,0812";"8,582947";"184,1676";"124,0093"
"9,633333";"34,09528";"286,8135";"173,2161";"13,91895";"182,4405";"124,1319";"34,09528";"286,8135";"173,2161";"13,91895";"182,4405";"124,1319"
"9,666667";"37,45203";"293,0638";"173,5927";"19,18958";"181,0518";"124,1273";"37,45203";"293,0638";"173,5927";"19,18958";"181,0518";"124,1273"
"9,7";"40,96185";"299,1625";"174,4429";"24,87787";"179,8683";"124,0208";"40,96185";"299,1625";"174,4429";"24,87787";"179,8683";"124,0208"
"9,733334";"44,27252";"305,0534";"175,3316";"30,73224";"178,2919";"124,0822";"44,27252";"305,0534";"175,3316";"30,73224";"178,2919";"124,0822"
"9,766666";"47,71301";"311,1025";"175,6267";"36,9754";"176,4337";"130,1643";"47,71301";"311,1025";"175,6267";"36,9754";"176,4337";"130,1643"
"9,8";"57,26196";"319,0024";"175,9155";"42,85901";"173,6957";"130,3642";"57,26196";"319,0024";"175,9155";"42,85901";"173,6957";"130,3642"
