"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"7,066667";"45,89758";"357,1902";"194,688";"100,5021";"152,3172";"128,5851";"45,89758";"357,1902";"194,688";"100,5021";"152,3172";"128,5851"
"7,1";"43,79114";"356,2411";"195,2761";"101,631";"152,0009";"129,004";"43,79114";"356,2411";"195,2761";"101,631";"152,0009";"129,004"
"7,133333";"42,07355";"355,0698";"195,1832";"101,1403";"152,4296";"129,1291";"42,07355";"355,0698";"195,1832";"101,1403";"152,4296";"129,1291"
"7,166667";"41,38501";"353,8111";"195,9906";"100,7405";"152,9503";"129,0103";"41,38501";"353,8111";"195,9906";"100,7405";"152,9503";"129,0103"
"7,2";"40,21454";"352,2899";"195,9993";"99,14233";"154,3074";"128,8598";"40,21454";"352,2899";"195,9993";"99,14233";"154,3074";"128,8598"
"7,233333";"39,46436";"350,1793";"196,6733";"97,4021";"156,7929";"127,9794";"39,46436";"350,1793";"196,6733";"97,4021";"156,7929";"127,9794"
"7,266667";"38,88324";"347,7088";"197,2822";"94,70581";"159,8002";"127,3901";"38,88324";"347,7088";"197,2822";"94,70581";"159,8002";"127,3901"
"7,3";"36,68463";"344,1628";"197,2075";"92,00238";"163,0986";"126,7411";"36,68463";"344,1628";"197,2075";"92,00238";"163,0986";"126,7411"
"7,333333";"34,60803";"340,2125";"197,3738";"88,75012";"166,1964";"126,3248";"34,60803";"340,2125";"197,3738";"88,75012";"166,1964";"126,3248"
"7,366667";"32,73486";"335,7883";"197,3317";"84,88727";"169,3673";"125,6129";"32,73486";"335,7883";"197,3317";"84,88727";"169,3673";"125,6129"
"7,4";"28,8761";"329,9098";"198,3934";"80,5285";"173,1845";"124,4843";"28,8761";"329,9098";"198,3934";"80,5285";"173,1845";"124,4843"
"7,433333";"25,38007";"323,2672";"198,8389";"75,35889";"176,1504";"123,4206";"25,38007";"323,2672";"198,8389";"75,35889";"176,1504";"123,4206"
"7,466667";"23,24493";"316,9852";"200,1161";"69,82544";"178,2606";"122,8865";"23,24493";"316,9852";"200,1161";"69,82544";"178,2606";"122,8865"
"7,5";"21,42188";"310,7786";"200,9467";"63,86865";"180,3797";"122,1708";"21,42188";"310,7786";"200,9467";"63,86865";"180,3797";"122,1708"
