"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"7,066667";"127,129";"322,0671";"203,0511";"113,88";"150,7845";"149,4697";"127,129";"322,0671";"203,0511";"113,88";"150,7845";"149,4697"
"7,1";"125,7571";"321,6904";"203,2417";"114,7601";"151";"149";"125,7571";"321,6904";"203,2417";"114,7601";"151";"149"
"7,133333";"124,2976";"321,9619";"203,7134";"115,0026";"151,5025";"149,1147";"124,2976";"321,9619";"203,7134";"115,0026";"151,5025";"149,1147"
"7,166667";"124,1315";"320,9226";"203,7169";"114,0002";"152,0095";"148,9425";"124,1315";"320,9226";"203,7169";"114,0002";"152,0095";"148,9425"
"7,2";"124,1711";"320,0941";"203,3743";"111,8376";"153,5739";"148,818";"124,1711";"320,0941";"203,3743";"111,8376";"153,5739";"148,818"
"7,233333";"124,2531";"319,7714";"203,7783";"110,2225";"154,705";"147,4944";"124,2531";"319,7714";"203,7783";"110,2225";"154,705";"147,4944"
"7,266667";"124,9455";"317,2969";"206,2595";"107,8627";"159,0134";"148,6926";"124,9455";"317,2969";"206,2595";"107,8627";"159,0134";"148,6926"
"7,3";"124,2107";"316,7226";"205,7769";"105,2292";"162,094";"151,6235";"124,2107";"316,7226";"205,7769";"105,2292";"162,094";"151,6235"
"7,333333";"124,1379";"314,3461";"205,9527";"102,0939";"165,4488";"152,7467";"124,1379";"314,3461";"205,9527";"102,0939";"165,4488";"152,7467"
"7,366667";"123,1028";"312,7581";"205,6393";"98,38568";"168,9144";"152,7092";"123,1028";"312,7581";"205,6393";"98,38568";"168,9144";"152,7092"
"7,4";"122,1113";"309,1044";"206,7879";"94,06647";"172,9956";"151,5378";"122,1113";"309,1044";"206,7879";"94,06647";"172,9956";"151,5378"
"7,433333";"120,1012";"306,053";"207,631";"89,15625";"175,3793";"152,3215";"120,1012";"306,053";"207,631";"89,15625";"175,3793";"152,3215"
"7,466667";"118,6782";"301,8026";"208,1459";"82,87817";"179,4312";"152,4806";"118,6782";"301,8026";"208,1459";"82,87817";"179,4312";"152,4806"
"7,5";"117,8269";"297,3301";"208,8842";"77,06799";"181,9846";"154,5657";"117,8269";"297,3301";"208,8842";"77,06799";"181,9846";"154,5657"
"7,533333";"114,818";"294,2242";"210,2977";"70,66455";"182,7725";"155,3277";"114,818";"294,2242";"210,2977";"70,66455";"182,7725";"155,3277"
"7,566667";"112,0663";"290,3547";"210,2525";"63,88947";"185,136";"156,5339";"112,0663";"290,3547";"210,2525";"63,88947";"185,136";"156,5339"
"7,6";"109,84";"284,6866";"210,8879";"58,14709";"187,3521";"157,8029";"109,84";"284,6866";"210,8879";"58,14709";"187,3521";"157,8029"
"7,633333";"107,3658";"279,4686";"211,9274";"52,12592";"188,5318";"159,0059";"107,3658";"279,4686";"211,9274";"52,12592";"188,5318";"159,0059"
"7,666667";"104,7572";"272,832";"212,6605";"46,47803";"189,9197";"161,4457";"104,7572";"272,832";"212,6605";"46,47803";"189,9197";"161,4457"
"7,7";"97,90747";"270,7318";"213,4573";"40,6366";"190,0424";"161,0681";"97,90747";"270,7318";"213,4573";"40,6366";"190,0424";"161,0681"
"7,733333";"94,65863";"266,093";"214,2244";"35,71747";"190,6442";"160,5251";"94,65863";"266,093";"214,2244";"35,71747";"190,6442";"160,5251"
"7,766667";"89,45319";"261,8348";"214,002";"30,03876";"191,083";"160,9512";"89,45319";"261,8348";"214,002";"30,03876";"191,083";"160,9512"
"7,8";"83,79614";"256,209";"214,3292";"24,55072";"191,7227";"159,7661";"83,79614";"256,209";"214,3292";"24,55072";"191,7227";"159,7661"
"7,833333";"79,97644";"250,9031";"213,9901";"19,12048";"191,9385";"159,3713";"79,97644";"250,9031";"213,9901";"19,12048";"191,9385";"159,3713"
"7,866667";"75,73206";"246,7164";"214,1154";"13,84021";"191,8168";"159,7336";"75,73206";"246,7164";"214,1154";"13,84021";"191,8168";"159,7336"
"7,9";"72,91888";"241,2834";"213,0673";"8,103577";"190,9956";"161,4156";"72,91888";"241,2834";"213,0673";"8,103577";"190,9956";"161,4156"
