"Time";"Angle 1.o/0/X";"Angle 1.o/0/Y";"Angle 1.a/0/X";"Angle 1.a/0/Y";"Angle 1.b/0/X";"Angle 1.b/0/Y";"Angle 1/o/X";"Angle 1/o/Y";"Angle 1/a/X";"Angle 1/a/Y";"Angle 1/b/X";"Angle 1/b/Y"
"7,1";"125,1273";"154,3116";"133,9512";"-35,40106";"83,21411";"330,7886";"125,1273";"154,3116";"133,9512";"-35,40106";"83,21411";"330,7886"
"7,133333";"125,0649";"154,2162";"133,9702";"-35,01135";"83,03699";"331,0095";"125,0649";"154,2162";"133,9702";"-35,01135";"83,03699";"331,0095"
"7,166667";"125,1797";"154,3166";"133,9351";"-35,03381";"82,89917";"330,5722";"125,1797";"154,3166";"133,9351";"-35,03381";"82,89917";"330,5722"
"7,2";"127,6663";"153,3149";"134,1745";"-34,98779";"82,8255";"330,1005";"127,6663";"153,3149";"134,1745";"-34,98779";"82,8255";"330,1005"
"7,233333";"129,9563";"152,9653";"134,3809";"-34,72998";"82,83154";"329,4852";"129,9563";"152,9653";"134,3809";"-34,72998";"82,83154";"329,4852"
"7,266667";"132,9058";"152,3327";"134,3839";"-34,71667";"83,30975";"327,7173";"132,9058";"152,3327";"134,3839";"-34,71667";"83,30975";"327,7173"
"7,3";"136,6364";"151,7266";"134,3839";"-34,71667";"82,50134";"325,8911";"136,6364";"151,7266";"134,3839";"-34,71667";"82,50134";"325,8911"
"7,333333";"140,1836";"150,1242";"133,9686";"-34,47803";"83,20294";"323,3871";"140,1836";"150,1242";"133,9686";"-34,47803";"83,20294";"323,3871"
"7,366667";"143,2365";"150,2448";"134,0322";"-34,41681";"82,66901";"321,046";"143,2365";"150,2448";"134,0322";"-34,41681";"82,66901";"321,046"
"7,4";"148,2175";"150,7612";"134,0358";"-34,42163";"87,15466";"303,7368";"148,2175";"150,7612";"134,0358";"-34,42163";"87,15466";"303,7368"
"7,433333";"150,2484";"146,6318";"134,2524";"-34,26208";"85,36627";"300,3025";"150,2484";"146,6318";"134,2524";"-34,26208";"85,36627";"300,3025"
"7,466667";"153,8165";"148,9355";"134,5073";"-34,41693";"84,98682";"297,767";"153,8165";"148,9355";"134,5073";"-34,41693";"84,98682";"297,767"
"7,5";"153,5068";"149,5679";"135,0187";"-34,54382";"85,02081";"284,9481";"153,5068";"149,5679";"135,0187";"-34,54382";"85,02081";"284,9481"
"7,533333";"154,9999";"149,6121";"135,0328";"-34,55878";"83,02087";"279,2133";"154,9999";"149,6121";"135,0328";"-34,55878";"83,02087";"279,2133"
"7,566667";"155,9219";"149,4916";"135,0724";"-34,69958";"80,26208";"276,441";"155,9219";"149,4916";"135,0724";"-34,69958";"80,26208";"276,441"
"7,6";"157,1967";"149,3548";"135,0881";"-34,69348";"78,73102";"270,9279";"157,1967";"149,3548";"135,0881";"-34,69348";"78,73102";"270,9279"
"7,633333";"158,5902";"149,5231";"135,0728";"-34,73969";"76,79822";"266,1644";"158,5902";"149,5231";"135,0728";"-34,73969";"76,79822";"266,1644"
"7,666667";"158,3915";"149,5856";"135,0728";"-34,73969";"60,0708";"265,5576";"158,3915";"149,5856";"135,0728";"-34,73969";"60,0708";"265,5576"
"7,7";"158,4714";"148,9917";"135,0667";"-34,76129";"55,3479";"262,1628";"158,4714";"148,9917";"135,0667";"-34,76129";"55,3479";"262,1628"
"7,733333";"158,4852";"149,0183";"135,0809";"-34,75549";"52,01392";"256,1119";"158,4852";"149,0183";"135,0809";"-34,75549";"52,01392";"256,1119"
"7,766667";"159,6468";"147,9803";"135,1638";"-34,70135";"49,78503";"251,2977";"159,6468";"147,9803";"135,1638";"-34,70135";"49,78503";"251,2977"
"7,8";"159,5829";"148,1109";"135,1769";"-34,54773";"46,27942";"246,5402";"159,5829";"148,1109";"135,1769";"-34,54773";"46,27942";"246,5402"
"7,833333";"158,1828";"147,6573";"135,1639";"-34,55902";"42,20776";"239,8224";"158,1828";"147,6573";"135,1639";"-34,55902";"42,20776";"239,8224"
